iter,ID,FinalFT
0,C1,ACH(2)
0,C2,"HNE|ACH(0,2,4,7,8)"
0,C3,WCI(2)|RAW
0,D1,ACH(7)|HNE|VRM
0,D2,HNE|HBS|HLR|RCD|TRD
0,D2_mod_t0,"HNE|HBS|RCD|LCN(0,2,4)|TRD|RAW|CPP"
0,D3,LCH|LRM|LCN|ACH(0)|HNE|HBS|VRM|RAW
0,D4,"LCH|HLR|WCI(0,1)|LRM|LCN|ACH(0,1)|HBS"
0,D5,HNE|HBS|LCF(0)|RCD|VRM|CPP
0,D6,TLQ|HNE|HLR|LRM|LCN|VRM|CPP
0,D7,LRM|LCN|HNE|HBS|LCH
0,D8,"ACH(2)|LCH|CPP|LCN (0,1,2)|HNE"
0,D9,CPP|VRM|RAW|HBS
0,M1,WCI(0)|HRL|HNE|TRA|SNS
0,M2,ARM(7)|HRL|HNE|HBS
0,M3,HRL|HNE|RCD|LRM|LCN|HBS
0,R1,HNE|RCW|LCN|CPP
0,R2,ACH(2)|HNE|LRM|LCN|HBS|RAW
0,R3,HRL|HNE|RCD|RAW|LRM|HBS
0,R4,LCH|HNE|RAW|RCD|CPP
0,R5,HNE|OCH|LRM|LCN|RCD|HBS
0,R6,WCI(0)|HNE|RCD|LRM|CPP
0,R7,ARM(2)|HNE|OCH|HBS|RCD
1,C1,ACH(2)|LRM|HBS
1,C2,HNE|RAW
1,C3,"WCI(2)|LRM|HNE|RAW|ACH(0,2,4,7,8) |HBS"
1,D1,ACH(7)|HNE
1,D2,"HNE|HBS|HLR|RCD|LCN(0,2,4)|VRM|RAW|CPP"
1,D2_mod_t0,"HNE|HBS|RCD|LCN(0,2,4)|TRD|CPP"
1,D3,LCH|LRM|LCN|ACH(0)|HNE|HBS|RAW
1,D4,"LCH|HLR|WCI(0,1)|LRM|LCN|ACH(0,1)|HBS"
1,D5,LCF(0)|HBS|HNE|CPP|RAW|LRM
1,D6,TLQ|HNE|LRM|LCN|VRM|CPP
1,D7,LRM|LCN|VRM
